## From Myers et al. Appl. Spectrosc., doi:10.1177/0003702820928358, 2020
wavenum,n,k
5706.465033,1.490662098,0.000396143
5705.982865,1.490657806,0.000396281
5705.500696,1.490653515,0.000396434
5705.018528,1.490649223,0.000396586
5704.536359,1.490644932,0.000396737
5704.05419,1.49064064,0.000396891
5703.572022,1.49063623,0.000397026
5703.089853,1.490631938,0.000397164
5702.607685,1.490627646,0.000397318
5702.125516,1.490623355,0.00039747
5701.643348,1.490619063,0.000397623
5701.161179,1.490614772,0.000397777
5700.679011,1.49061048,0.000397912
5700.196842,1.490606189,0.000398031
5699.714674,1.490601778,0.000398169
5699.232505,1.490597487,0.000398323
5698.750336,1.490593195,0.000398476
5698.268168,1.490588903,0.000398629
5697.785999,1.490584493,0.000398784
5697.303831,1.490580201,0.000398919
5696.821662,1.49057591,0.000399059
5696.339494,1.490571618,0.000399214
5695.857325,1.490567207,0.000399367
5695.375157,1.490562916,0.00039952
5694.892988,1.490558624,0.000399675
5694.41082,1.490554214,0.000399811
5693.928651,1.490549803,0.000399931
5693.446483,1.490545511,0.00040007
5692.964314,1.49054122,0.000400226
5692.482145,1.490536928,0.000400379
5691.999977,1.490532517,0.000400533
5691.517808,1.490528226,0.000400689
5691.03564,1.490523934,0.000400826
5690.553471,1.490519524,0.000400966
5690.071303,1.490515232,0.000401122
5689.589134,1.490510821,0.000401276
5689.106966,1.49050653,0.00040143
5688.624797,1.490502119,0.000401587
5688.142629,1.490497828,0.000401723
5687.66046,1.490493417,0.000401844
5687.178292,1.490489006,0.000401984
5686.696123,1.490484715,0.000402141
5686.213954,1.490480304,0.000402295
5685.731786,1.490475893,0.00040245
5685.249617,1.490471482,0.000402607
5684.767449,1.490467191,0.000402745
5684.28528,1.490462899,0.000402886
5683.803112,1.490458489,0.000403043
5683.320943,1.490454078,0.000403199
5682.838775,1.490449786,0.000403354
5682.356606,1.490445375,0.000403511
5681.874438,1.490440965,0.000403649
5681.392269,1.490436554,0.00040377
5680.910101,1.490432262,0.000403911
5680.427932,1.490427852,0.000404069
5679.945763,1.490423441,0.000404225
5679.463595,1.49041903,0.000404381
5678.981426,1.490414739,0.000404539
5678.499258,1.490410328,0.000404678
5678.017089,1.490405917,0.00040482
5677.534921,1.490401506,0.000404978
5677.052752,1.490397215,0.000405135
5676.570584,1.490392804,0.000405291
5676.088415,1.490388393,0.000405449
5675.606247,1.490383983,0.000405588
5675.124078,1.490379572,0.00040571
5674.641909,1.490375161,0.000405852
5674.159741,1.49037075,0.000406011
5673.677572,1.49036634,0.000406168
5673.195404,1.490362048,0.000406325
5672.713235,1.490357637,0.000406484
5672.231067,1.490353227,0.000406624
5671.748898,1.490348816,0.000406767
5671.26673,1.490344405,0.000406926
5670.784561,1.490339994,0.000407084
5670.302393,1.490335584,0.000407241
5669.820224,1.490331173,0.000407401
5669.338056,1.490326762,0.00040754
5668.855887,1.490322232,0.000407664
5668.373718,1.490317822,0.000407807
5667.89155,1.490313411,0.000407967
5667.409381,1.490309,0.000408125
5666.927213,1.490304589,0.000408283
5666.445044,1.490300179,0.000408443
5665.962876,1.490295768,0.000408584
5665.480707,1.490291357,0.000408728
5664.998539,1.490286946,0.000408888
5664.51637,1.490282536,0.000409047
5664.034202,1.490278125,0.000409205
5663.552033,1.490273714,0.000409366
5663.069865,1.490269184,0.000409506
5662.587696,1.490264773,0.00040963
5662.105527,1.490260363,0.000409774
5661.623359,1.490255952,0.000409936
5661.14119,1.490251422,0.000410095
5660.659022,1.490247011,0.000410254
5660.176853,1.4902426,0.000410415
5659.694685,1.49023819,0.000410557
5659.212516,1.49023366,0.000410702
5658.730348,1.490229249,0.000410864
5658.248179,1.490224838,0.000411023
5657.766011,1.490220308,0.000411183
5657.283842,1.490215898,0.000411345
5656.801673,1.490211368,0.000411486
5656.319505,1.490206838,0.000411611
5655.837336,1.490202427,0.000411756
5655.355168,1.490197897,0.000411919
5654.872999,1.490193486,0.000412079
5654.390831,1.490189076,0.000412239
5653.908662,1.490184665,0.000412402
5653.426494,1.490180135,0.000412544
5652.944325,1.490175724,0.00041269
5652.462157,1.490171194,0.000412853
5651.979988,1.490166783,0.000413014
5651.49782,1.490162253,0.000413175
5651.015651,1.490157723,0.000413338
5650.533482,1.490153194,0.00041348
5650.051314,1.490148783,0.000413605
5649.569145,1.490144253,0.000413752
5649.086977,1.490139842,0.000413915
5648.604808,1.490135431,0.000414076
5648.12264,1.490130901,0.000414238
5647.640471,1.490126491,0.000414402
5647.158303,1.490121961,0.000414545
5646.676134,1.490117431,0.000414692
5646.193966,1.49011302,0.000414856
5645.711797,1.49010849,0.000415018
5645.229629,1.49010396,0.00041518
5644.74746,1.49009943,0.000415344
5644.265291,1.490095019,0.000415487
5643.783123,1.490090489,0.000415614
5643.300954,1.490085959,0.000415761
5642.818786,1.49008143,0.000415926
5642.336617,1.490077019,0.000416088
5641.854449,1.490072489,0.000416251
5641.37228,1.490067959,0.000416416
5640.890112,1.490063429,0.00041656
5640.407943,1.490059018,0.000416709
5639.925775,1.490054488,0.000416874
5639.443606,1.490049958,0.000417037
5638.961438,1.490045428,0.0004172
5638.479269,1.490040898,0.000417365
5637.9971,1.490036368,0.000417509
5637.514932,1.490031838,0.000417637
5637.032763,1.490027309,0.000417785
5636.550595,1.490022779,0.000417951
5636.068426,1.490018249,0.000418114
5635.586258,1.490013719,0.000418278
5635.104089,1.490009189,0.000418444
5634.621921,1.490004659,0.000418589
5634.139752,1.490000129,0.000418739
